,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-12-16,6.2,-0.1,3.7,4.2,-2.3,1.1,-0.1,76.7,0.0,0,0.0,rain,0.0,0.0,39.6,18.1,145.0,1032.6,96.0,15.8,24.2,2.0,1,10,2024-12-16T07:07:37,2024-12-16T16:12:48,0.54,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-12-17,15.1,6.8,11.8,15.1,4.6,11.2,6.9,73.6,4.418,100,33.33,rain,0.0,0.0,47.5,33.1,235.1,1017.7,63.9,14.9,37.9,3.2,3,10,2024-12-17T07:08:16,2024-12-17T16:13:08,0.57,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KOWD,AV085,KBED,KBOS"
2,"Boston, MA, United States",2024-12-18,10.0,3.7,6.8,8.1,0.6,4.4,0.5,65.3,12.863,100,16.67,rain,0.0,0.0,33.5,16.5,236.0,1020.6,57.1,14.5,351.7,30.2,6,10,2024-12-18T07:08:53,2024-12-18T16:13:31,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
3,"Boston, MA, United States",2024-12-19,6.8,0.6,4.3,3.5,-3.2,0.9,-1.4,68.3,4.876,100,20.83,rain,0.0,0.0,44.6,31.5,311.4,1020.5,65.0,15.3,546.8,47.2,8,10,2024-12-19T07:09:28,2024-12-19T16:13:56,0.64,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KOWD,AV085,KBED,0518W,KBOS"
4,"Boston, MA, United States",2024-12-20,1.1,-2.7,-0.4,-3.5,-9.6,-5.9,-3.2,81.8,10.969,100,41.67,snow,5.2,2.3,48.2,33.0,2.8,1019.9,99.3,8.6,331.6,28.6,8,10,2024-12-20T07:10:00,2024-12-20T16:14:24,0.67,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"KOWD,AV085,KBED,0518W,KBOS"
5,"Boston, MA, United States",2024-12-21,-1.7,-7.8,-3.9,-7.7,-16.2,-10.7,-10.2,62.7,0.0,0,0.0,snow,5.9,7.8,53.4,33.1,311.5,1013.6,65.1,16.0,471.5,41.0,6,10,2024-12-21T07:10:31,2024-12-21T16:14:54,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
6,"Boston, MA, United States",2024-12-22,-7.1,-11.7,-9.7,-14.6,-20.9,-17.9,-18.2,50.3,0.0,0,0.0,,0.0,5.6,46.4,31.2,308.7,1027.8,11.2,16.0,437.3,37.7,7,10,2024-12-22T07:10:59,2024-12-22T16:15:26,0.75,Clear,Clear conditions throughout the day.,clear-day,"F2140,KOWD,AV085,KBED,0518W,KBOS"
7,"Boston, MA, United States",2024-12-23,-3.3,-12.2,-7.8,-7.5,-20.0,-13.9,-14.7,58.3,0.0,11,0.0,,0.0,4.4,27.7,20.0,260.7,1035.4,36.6,16.0,324.5,28.1,9,10,2024-12-23T07:11:26,2024-12-23T16:16:00,0.77,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,KBED,0518W,KBOS"
